,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
86,0.0,2018-01-07 10:53:54+00:00,0.0,1.0,0.0,BBC,RT @BBCNews: Royal Wedding: Late pub opening hours for Harry and Meghan https://t.co/7w6kcOjyxl,87
87,0.5719,2018-01-07 10:49:25+00:00,0.0,0.821,0.179,BBC,RT @BBCFood: Going low-cal but having cravings? Enter the easiest ever chicken traybake. 🙌 Full recipe here - https://t.co/KXMxTDDtgx https…,88
88,0.0,2018-01-07 10:49:13+00:00,0.0,1.0,0.0,BBC,"RT @BBCNewsround: In for a penny, in for a pound! Check out these new coin designs from the Royal Mint https://t.co/5hfRexBLyU https://t.co…",89
89,0.0,2018-01-07 10:00:04+00:00,0.0,1.0,0.0,BBC,💙🎶 Prepare to be mesmerised by the sounds of Scotland. https://t.co/d32eggwm1U,90
90,-0.4215,2018-01-07 09:32:03+00:00,0.149,0.851,0.0,BBC,"Women unhappy with their breast size are less likely to carry out regular self-examinations, study suggests.… https://t.co/41b81fLY8p",91
91,0.0,2018-01-07 09:00:14+00:00,0.0,1.0,0.0,BBC,The people of the whale. 📸🐋 https://t.co/TH7SUcw5JJ https://t.co/8ivwbmnhms,92
92,-0.4588,2018-01-07 08:30:05+00:00,0.364,0.636,0.0,BBC,'I fought anxiety and started teaching happiness.' https://t.co/K2TXy36b77 https://t.co/M4xJDR4rkd,93
93,-0.4939,2018-01-07 08:00:04+00:00,0.198,0.802,0.0,BBC,⚽️🏟 When ball boys steal the limelight and hit the big time. https://t.co/Rl0vUHaZZK https://t.co/Uc02sIM0gK,94
94,0.0,2018-01-06 23:57:10+00:00,0.0,1.0,0.0,BBC,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe",95
95,0.5859,2018-01-06 23:56:58+00:00,0.0,0.743,0.257,BBC,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw,96
96,-0.4939,2018-01-06 23:56:09+00:00,0.138,0.862,0.0,BBC,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…",97
97,0.0,2018-01-06 23:55:08+00:00,0.0,1.0,0.0,BBC,"RT @BBCMOTD: 🎶 Doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo… 🎶

#FACup third round day always throws up some stories - today…",98
98,0.0,2018-01-06 19:33:03+00:00,0.0,1.0,0.0,BBC,"DCI Hicks and DI Renko stumble on a lethal secret that will bind them together for life. 

#HardSun | 9.35pm |… https://t.co/Tl7pjslOQZ",99
99,0.3612,2018-01-06 19:01:04+00:00,0.0,0.872,0.128,BBC,👰🤵🏆 @reallorraine and @RobBeckettComic present as couples and their families come together for a wedding day like n… https://t.co/acOWVTDVKy,100
100,0.0,2018-01-08 18:07:57+00:00,0.0,1.0,0.0,CBS,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,1
101,0.0,2018-01-08 14:34:48+00:00,0.0,1.0,0.0,CBS,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",2
102,0.0,2018-01-08 14:29:20+00:00,0.0,1.0,0.0,CBS,RT @AmazingRaceCBS: Which teams are zipping through the first leg of the #AmazingRace? https://t.co/8isAwPyrLY,3
103,0.0,2018-01-08 00:29:51+00:00,0.0,1.0,0.0,CBS,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,4
104,0.0,2018-01-06 20:05:17+00:00,0.0,1.0,0.0,CBS,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",5
